x,y,z
150,4076.9,150
360.62,4076.9,150
865,3884.8,150
1308.2,3614.2,150
1734,3361,150
2108,3221.3,150
2464.8,3177.7,150
2786.5,3020.5,150
2560.8,3256.3,150
2117.6,3509.4,150
1761.4,3762.6,150
1318.4,4094.3,150
875.21,4382.4,150
397.16,4644.3,150
150,4644.3,150
150,5780,125
359.72,3780,125
907.69,3605.4,125
1551.1,3308.6,125
2038,3099.1,125
2716.5,2898.3,125
3212.1,2688.8,125
3646.9,2540.4,125
3985.9,2357.1,125
4525,2103.9,125
5072.7,1868.2,125
5646.6,1606.3,125
5290.7,1973,125
4795.3,2261,125
4247.8,2584,125
3735,2872.1,125
3257.2,3203.9,125
2735.8,3526.9,125
2475.5,3815,125
2137.5,4338.8,125
1868.8,4740.3,125
1408.4,5072.1,125
947.88,5377.6,125
487.21,5630.8,125
150,5700.7,125
150,5780,100
2463.6,5665.7,100
3063.1,5255.4,100
3401.3,4801.4,100
3547.3,4146.7,100
3798.4,3675.3,100
4380.4,3256.3,100
4927.9,2898.3,100
5527.5,2531.7,100
6031.3,2156.3,100
6413.1,1737.2,100
6525.1,1344.4,100
6411.5,1213.5,100
5994,1344.4,100
5498.4,1536.5,100
4950.5,1763.4,100
4420.2,2016.6,100
3742,2313.4,100
3176.9,2584,100
2516.1,2845.9,100
1759.4,3099.1,100
994.35,3474.5,100
150,3666.6,100
3603.9,5780,75
3967.8,4993.5,75
4105.3,4391.1,75
4260.8,3989.6,75
4764.7,3657.8,75
5442.7,3299.9,75
6033.5,2889.6,75
6423.9,2435.6,75
6788.1,1946.8,75
7021.9,1510.3,75
7073.1,1187.3,75
6907.2,1003.9,75
6559.1,1082.5,75
6054.6,1222.2,75
5437.2,1466.6,75
4906.8,1702.3,75
4272.1,1981.7,75
3733.1,2226.1,75
3150.6,2496.7,75
2507,2741.2,75
1950.5,2950.7,75
1489.6,3142.8,75
1037.5,3334.8,75
150,3561.8,75
4204.7,5780,50
4481.3,4941.1,50
4749.4,4330,50
5261.9,3963.4,50
5852.7,3553.1,50
6347.5,3064.2,50
6798.6,2514.2,50
7145.2,1981.7,50
7430.8,1414.2,50
7490.4,986.48,50
7368,811.88,50
6750,864.26,50
6184.7,1065,50
5532.5,1318.2,50
4810.9,1658.7,50
4019.8,2025.3,50
3228.5,2357.1,50
2428.5,2671.3,50
1724,2915.8,50
898.06,3299.9,50
150,3448.3,50
4753.1,5780,25
4951.7,5019.7,25
5220.1,4530.8,25
5723.8,4103.1,25
6270.9,3657.8,25
6774.2,3099.1,25
7164.4,2584,25
7476.2,2042.8,25
7718.4,1519,25
7874,1143.6,25
7811.7,689.66,25
7506.7,619.82,25
6923.8,742.04,25
6280.2,951.56,25
5671.4,1196,25
5001.9,1475.4,25
4280.3,1807.1,25
3689.2,2103.9,25
2854.4,2435.6,25
2384.8,2619,25
1854.2,2776.1,25
1410.8,2976.9,25
758.62,3256.3,25
150,3387.2,25
5310.4,5780,0
5560.8,4914.9,0
6090,4286.4,0
6576.2,3823.7,0
7018.6,3308.6,0
7013.1,4347.5,0
7060.6,5674.4,0
6068.2,5726.8,0
2801.9,2357.1,0
340.8,3282.4,0
827.88,3125.3,0
1384.4,2889.6,0
1923.4,2645.2,0
3410.7,2138.8,0
4227.8,1737.2,0
4992.9,1370.6,0
5801.5,1012.7,0
6236.2,829.34,0
6233.9,52.379,0
5311.1,69.839,0
5286.8,672.2,0
4320.3,654.74,0
4262.2,1580.1,0
3748.8,1667.4,0
2157,2147.6,0
150,2662.6,0
1113.8,2662.6,0
7060.6,5780,0
